remark,"CSV-Import-Export"
remark,"Date = Tue Sep 19 15:37:46 2017"
remark,"Version = RSLogix 5000 v20.01"
remark,"Owner = Microgrid_Project"
remark,"Company = Case Western Reserve University"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
ALIAS,,BRANCH_2_BUS_2_DISTAL_NO,"","","Local:9:O.Data.14","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_2_BUS_2_FAULT,"","","Local:9:O.Data.11","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_2_BUS_2_LOAD_1_NC,"","","Local:9:O.Data.20","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_2_BUS_2_LOAD_1_NO,"","","Local:9:O.Data.12","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_2_BUS_2_LOAD_2_NC,"","","Local:9:O.Data.18","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_2_BUS_2_LOAD_2_NO,"","","Local:9:O.Data.19","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_2_BUS_2_LOAD_3_NC,"","","Local:9:O.Data.16","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_2_BUS_2_LOAD_3_NO,"","","Local:9:O.Data.17","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_2_BUS_2_PROXIMAL_NC,"","","Local:8:O.Data.28","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_2_BUS_2_PROXIMAL_NO,"","","Local:8:O.Data.27","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_2_INTERCONNECT_1_FAULT,"","","Local:8:O.Data.30","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BRANCH_2_INTERCONNECT_2_FAULT,"","","Local:9:O.Data.10","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CROSSTIE_1_NC,"","","Local:8:O.Data.20","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CROSSTIE_1_NO,"","","Local:8:O.Data.19","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CROSSTIE_2_NC,"","","Local:9:O.Data.3","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CROSSTIE_2_NO,"","","Local:9:O.Data.15","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,MAIN_BUS_FAULT,"","","Local:8:O.Data.13","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,SolarSetpoint1Alias,"","","Local:7:O.Ch0Data","(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,SolarSetpoint2Alias,"","","Local:7:O.Ch1Data","(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,SOURCE_1_NC,"","","Local:9:O.Data.21","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,SOURCE_2_NC,"","","Local:9:O.Data.22","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,SOURCE_3_NC,"","","Local:9:O.Data.23","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,SOURCE_4_NC,"","","Local:9:O.Data.24","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,SOURCE_5_NC,"","","Local:9:O.Data.25","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,SOURCE_6_NC,"","","Local:9:O.Data.26","(RADIX := Decimal, ExternalAccess := Read/Write)"
